 ,dni,dhi,wind_speed,ghi,air_temperature,dew_point,relative_humidity,surface_pressure
2022,0,0,2.7,0,24.6,22,85.7,960
2022,0,0,2.6,0,24.1,22.1,88.55,961
2022,0,0,2.7,0,23.7,22.1,90.66,961
2022,0,0,2.8,0,23.5,22,91.47,961
2022,0,0,2.9,0,23.2,22,92.74,961
2022,0,0,3,0,22.9,21.9,93.94,960
2022,0,0,3,0,22.7,21.8,94.61,960
2022,0,0,3.1,0,22.4,21.7,95.86,959
2022,0,0,3.2,0,22.2,21.7,96.73,959
2022,0,0,3.2,0,22.1,21.6,97.13,959
2022,0,0,3.3,0,22,21.6,97.51,959
2022,0,9,3.9,9,23,21.8,93.11,960
2022,326,109,4.9,192,24.8,22.2,85.27,960
2022,493,159,5.7,394,26.5,22.3,77.69,961
2022,638,167,6.1,597,27.8,22.3,72.08,961
2022,205,389,6.3,560,28.8,22.3,67.99,960
2022,413,461,6.4,851,29.6,22.4,65.12,960
2022,940,132,6.4,1067,30,22.4,63.92,959
2022,938,133,6.3,1058,30.2,22.4,63.13,958
2022,921,129,6.2,975,30.1,22.4,63.45,957
2022,885,120,5.9,826,29.7,22.4,64.75,956
2022,819,109,5.5,623,29,22.3,67.05,956
2022,702,89,4.9,386,27.9,22.2,71.35,956
2022,455,56,4,146,26.4,22.2,77.97,956
2022,0,0,3.6,0,25.3,22.2,83.15,957
2022,0,0,3.5,0,24.7,22.3,86.52,958
2022,0,0,3.5,0,24.3,22.4,89.09,958
2022,0,0,3.7,0,24,22.4,91,958
2022,0,0,4,0,23.8,22.4,92.09,958
2022,0,0,4,0,23.5,22.4,93.51,957
2022,0,0,4,0,23.4,22.4,93.92,957
2022,0,0,4,0,23.4,22.4,93.84,957
2022,0,0,4,0,23.3,22.4,94.5,957
2022,0,0,4,0,23.2,22.4,95.28,958
2022,0,0,4.1,0,23.1,22.4,95.75,958
2022,75,12,4.5,13,23.7,22.5,92.79,958
2022,552,63,5.3,202,25.1,22.6,86.11,959
2022,755,87,5.8,446,26.7,22.6,78.41,959
2022,855,103,6,677,28,22.7,72.93,959
2022,909,113,6.1,869,29,22.8,69.27,960
2022,952,111,6.2,1007,29.7,22.8,66.54,959
2022,538,340,6.2,875,30.1,22.8,65.11,959
2022,968,110,6.1,1065,30.2,22.8,64.7,958
2022,944,113,5.9,981,30.1,22.7,64.78,957
2022,912,105,5.6,832,29.6,22.6,66.04,956
2022,850,94,5.2,629,29,22.4,67.72,956
2022,740,78,4.5,391,28,22.4,71.45,956
2022,13,98,3.5,101,26.5,22.4,78.07,956
2022,0,0,3.1,0,25.4,22.3,82.91,957
2022,0,0,3,0,24.9,22.2,85.1,957
2022,0,0,3.1,0,24.5,22.1,86.62,958
2022,0,0,3.1,0,24.1,22,88.07,958
2022,0,0,3.1,0,23.8,21.9,88.93,958
2022,0,0,3.2,0,23.6,21.6,88.7,958
2022,0,0,3.3,0,23.3,21.4,89.07,958
2022,0,0,3.2,0,23,21.2,89.71,958
2022,0,0,3.1,0,22.6,21.1,91.15,958
2022,0,0,3.2,0,22.5,21,91.19,958
2022,0,0,3.2,0,22.3,20.9,91.98,959
2022,0,6,3.5,6,23.1,21.2,89.08,960
2022,304,104,4.5,180,24.8,21.6,82.32,961
2022,7,192,5.2,195,26.7,22,75.37,961
2022,151,374,5.5,476,28.2,22.4,70.68,961
2022,100,399,5.6,482,29.4,22.6,66.71,961
2022,258,514,5.5,756,30.1,22.7,64.67,960
2022,429,477,5.4,903,30.5,22.8,63.65,959
2022,228,538,5.2,762,30.7,22.9,63.34,959
2022,1,311,5,312,30.6,22.9,63.49,958
2022,921,98,4.8,833,30.4,22.8,63.94,958
2022,520,207,4.4,534,29.8,22.7,65.79,958
2022,751,74,3.7,393,28.8,22.7,69.78,958
2022,515,49,2.5,151,27.1,23,78.24,959
2022,0,0,2.1,0,25.9,23,84.26,959
2022,0,0,2,0,25.3,23.2,88.06,960
2022,0,0,1.9,0,24.9,23.2,90.54,961
2022,0,0,1.9,0,24.5,23.2,92.61,962
2022,0,0,1.8,0,24.2,23.2,94.04,962
2022,0,0,1.8,0,23.8,23.1,95.93,962
2022,0,0,1.8,0,23.5,23,96.99,961
2022,0,0,1.7,0,23.1,22.9,98.67,961
2022,0,0,1.7,0,22.8,22.8,99.72,961
2022,0,0,1.5,0,22.6,22.6,99.9,961
2022,0,0,1.3,0,22.4,22.4,100,962
2022,71,10,2,12,23.4,22.9,97.25,962
2022,559,61,2.6,200,24.8,23.5,92.26,963
2022,762,85,3.1,444,26.6,23.4,82.44,964
2022,739,145,3.4,640,28.3,22.9,72.5,964
2022,660,220,3.5,768,29.5,22.6,66.64,964
2022,900,79,3.6,925,30.2,22.6,63.72,963
2022,967,111,3.6,1072,30.5,22.5,62.38,963
2022,965,110,3.6,1064,30.6,22.5,61.98,962
2022,927,121,3.5,975,30.5,22.4,62.13,961
2022,892,114,3.5,826,30.2,22.3,62.87,961
2022,828,102,3.3,624,29.6,22.2,64.63,961
2022,714,84,2.7,387,28.7,22.3,68.17,961
2022,466,54,1.6,147,26.9,22.6,77.38,961
2022,0,0,1.1,0,25.5,22.6,83.77,962
2022,0,0,1,0,24.9,22.5,86.81,962
2022,0,0,0.9,0,24.4,22.5,89.36,963
2022,0,0,0.9,0,23.9,22.5,91.79,963
2022,0,0,0.8,0,23.4,22.5,94.43,963
2022,0,0,0.8,0,23,22.4,96.65,963
2022,0,0,0.8,0,22.6,22.4,98.71,962
2022,0,0,0.8,0,22.4,22.3,99.62,962
2022,0,0,0.9,0,22.1,22.1,100,962
2022,0,0,0.9,0,22,22,100,962
2022,0,0,0.9,0,21.9,21.9,100,963
2022,62,10,1.7,11,23.3,22.5,95.12,963
2022,561,60,2.5,198,25.1,22.6,85.85,964
2022,763,85,2.9,443,26.9,22.3,75.93,964
2022,862,101,3,677,28.3,22,68.89,964
2022,917,111,3.1,871,29.4,21.8,63.77,963
2022,936,126,3.3,1006,30.2,21.7,60.39,963
2022,954,126,3.4,1075,30.7,21.6,58.39,962
2022,955,124,3.5,1068,31,21.5,57.07,961
2022,952,112,3.6,990,30.8,21.4,57.48,960
2022,920,104,3.6,839,30.4,21.4,58.52,959
2022,857,94,3.4,634,29.7,21.3,60.53,958
2022,744,78,3,394,28.6,21.3,64.8,959
2022,501,51,1.8,150,26.7,21.7,74.25,959
2022,0,0,1.3,0,25.3,21.7,80.69,960
2022,0,0,1.2,0,24.7,21.8,83.93,961
2022,0,0,1.1,0,24.2,21.8,86.38,961
2022,0,0,1.1,0,23.8,21.7,88.12,962
2022,0,0,1.3,0,23.5,21.6,89.09,961
2022,0,0,1.5,0,23.2,21.5,90.07,961
2022,0,0,1.6,0,23,21.4,90.58,960
2022,0,0,1.9,0,22.9,21.3,90.91,960
2022,0,0,2,0,22.8,21.4,91.55,960
2022,0,0,1.9,0,22.6,21.4,92.82,960
2022,0,0,1.9,0,22.4,21.4,94.29,960
2022,0,0,2.4,0,23,21.7,92.26,960
2022,39,132,3.3,142,24.2,21.8,86.38,961
2022,722,95,3.8,434,25.5,21.6,79.12,961
2022,826,114,4.1,665,26.3,21.8,76.15,961
2022,882,127,4.3,858,27,21.9,73.47,961
2022,939,118,4.5,1001,27.6,21.9,70.96,960
2022,951,122,4.6,1068,27.9,21.9,69.95,960
2022,951,122,4.5,1061,27.9,21.9,70.05,959
2022,922,126,4.4,977,27.9,21.9,69.92,958
2022,891,116,4.2,829,27.6,21.8,70.85,957
2022,830,103,3.9,627,27.2,21.9,72.65,957
2022,718,84,3.2,389,26.4,22.1,77.33,957
2022,478,53,2.5,148,25.3,22.1,82.69,957
2022,0,0,2.4,0,24.4,22.1,87.01,958
2022,0,0,2.3,0,23.9,22.1,89.51,959
2022,0,0,2.4,0,23.4,22,91.93,960
2022,0,0,2.4,0,23,21.9,93.58,960
2022,0,0,2.4,0,22.7,21.8,94.7,960
2022,0,0,2.4,0,22.4,21.7,95.88,959
2022,0,0,2.4,0,22.2,21.6,96.7,959
2022,0,0,2.7,0,22.1,21.6,96.96,959
2022,0,0,2.9,0,22.1,21.5,96.61,959
2022,0,0,3,0,21.9,21.5,97.33,959
2022,0,0,3.1,0,21.7,21.4,97.99,959
2022,0,0,3.6,0,22.2,21.6,96.61,959
2022,143,117,4.6,152,23.3,22,92.32,960
2022,780,77,5.4,441,24.9,21.7,82.6,960
2022,880,89,5.8,675,26.7,21.1,71.62,960
2022,937,95,6,870,28,20.9,65.56,960
2022,962,104,6,1008,28.9,21,62.39,959
2022,979,101,6.1,1075,29.5,21.1,60.55,958
2022,980,99,6,1068,29.7,21.1,60.11,957
2022,942,113,5.8,982,29.6,21.2,60.67,957
2022,908,106,5.6,833,29.1,21.1,62.15,956
2022,846,95,5.4,629,28.3,20.9,64.21,956
2022,736,78,4.9,392,27.1,20.6,67.83,956
2022,498,51,3.9,150,25.6,20.7,74.3,957
2022,0,0,3.3,0,24.4,20.9,80.88,957
