,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
66,1151.414,1085.495,1028.799,984.753,953.522,992.144,1104.574,1166.425,1244.563,1314.946,1339.48,1359.741,1314.21,1334.3,1394.125,1407.918,1394.039,1331.654,1344.165,1505.559,1495.048,1430.601,1316.475,1200.068
67,1097.101,1029.149,993.032,971.688,955.915,993.784,1070.175,1138.981,1240.108,1329.827,1373.925,1411.074,1376.007,1412.487,1453.727,1453.001,1422.116,1356.618,1357.48,1537.852,1531.295,1465.985,1351.809,1220.522
68,1122.494,1048.834,1003.718,978.24,979.585,1012.617,1104.24,1148.245,1192.895,1286.496,1352.854,1416.722,1395.019,1432.144,1498.388,1504.611,1477.37,1404.069,1381.796,1548.922,1537.632,1469.882,1362.528,1239.81
69,1126.429,1059.466,1010.988,981.78,965.843,985.119,988.503,1046.136,1177.036,1286.955,1336.145,1365.229,1345.21,1344.327,1370.596,1369.689,1343.034,1305.102,1323.102,1499.729,1489.095,1425.235,1325.465,1213.587
70,1117.832,1044.76,1001.456,965.183,947.54,943.139,882.19,899.463,972.845,1030.027,1076.003,1108.406,1127.532,1148.272,1178.065,1206.161,1212.236,1198.533,1236.531,1445.98,1458.33,1413.297,1314.047,1186.754
71,1089.169,1020.346,976.747,948.687,944.869,987.224,1079.518,1162.48,1261.439,1349.683,1403.962,1456.199,1433.281,1473.872,1518.645,1523.425,1495.847,1421.708,1438.411,1571.879,1560.598,1499.142,1389.07,1266.011
72,1141.818,1062.771,1031.471,1011.925,1000.351,1037.247,1100.138,1160.73,1266.935,1339.481,1381.714,1422.753,1380.179,1412.876,1481.016,1494.376,1458.619,1380.334,1372.183,1528.213,1525.858,1463.342,1346.618,1221.261
73,1123.022,1066.542,1031.614,1008.801,1004.057,1053.855,1131.334,1184.829,1285.255,1353.042,1407.486,1420.394,1360.675,1371.645,1416.659,1434.441,1417.774,1349.725,1347.076,1515.642,1513.83,1455.575,1338.119,1214.662
74,1107.849,1049.323,1010.525,987.781,984.595,1034.211,1114.518,1182.932,1271.006,1252.817,1388.264,1428.529,1396.449,1433.036,1480.33,1473.196,1438.164,1383.254,1387.208,1546.755,1518.868,1452.991,1331.644,1205.89
75,1094.853,1028.569,987.982,969.008,963.88,1021.076,1100.839,1171.817,1277.36,1357.588,1400.882,1433.661,1407.058,1439.291,1499.247,1515.246,1481.895,1402.245,1396.644,1548.144,1525.05,1463.284,1358.275,1240.794
76,1143.306,1074.299,1022.232,988.473,976.932,1007.209,1001.17,1056.005,1159.897,1220.534,1260.879,1289.626,1236.994,1222.289,1227.687,1230.834,1220.875,1202.423,1260.581,1418.389,1403.403,1340.123,1245.982,1143.43
77,1047.743,985.844,951.024,924.599,909.953,913.059,869.65,880.508,951.509,1002.605,1042.697,1076.284,1070.451,1063.816,1079.056,1100.648,1115.152,1119.23,1194.061,1383.508,1389.361,1328.839,1237.115,1132.229
78,1037.589,971.637,940.657,914.569,912.993,967.984,1042.958,1133.373,1217.448,1296.351,1321.532,1374.546,1356.286,1364.243,1412.784,1422.831,1403.527,1354.452,1381.404,1509.312,1495.387,1437.36,1316.89,1188.193
79,1076.307,1014.286,975.681,961.869,962.41,1003.881,1075.419,1149.652,1252.362,1332.904,1378.65,1399.449,1340.911,1348.989,1398.19,1423.869,1395.487,1351.517,1360.18,1510.383,1497.637,1431.271,1306.737,1181.072
80,1076.871,1010.081,978.087,965.02,963.765,1016.914,1110.829,1165.329,1254.044,1324.02,1355.462,1381.006,1332.131,1347.792,1379.65,1397.192,1369.827,1317.064,1346.38,1477.721,1457.191,1399.135,1278.926,1156.907
81,1060.262,1007.245,975.397,955.909,952.965,1005.071,1105.431,1153.164,1210.982,1268.122,1295.399,1303.01,1261.344,1259.601,1297.422,1307.055,1297.586,1272.216,1315.12,1446.129,1427.42,1355.03,1235.843,1121.828
